AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,lad16nm,text,easting,northing,long,lat
110157732016,2016-05-03,May,Tues,18,Powered 2 Wheeler,Serious,Daylight,Male,36-45,Tameside,At 18:00 on Tuesday 03 May 2016 a serious collision occured involving 2 vehicle(s) and  1 casualtie(s).,390524,398293,-2.1442570940791406,53.481271135702784
110157782016,2016-04-23,Apr,Sat,15,Pedestrian,Serious,Daylight,Male,46-55,Tameside,At 15:25 on Saturday 23 April 2016 a serious collision occured involving 2 vehicle(s) and  1 casualtie(s).,392793,398730,-2.1100769796686434,53.48523552467647
110159112016,2016-05-01,May,Sun,7,Car,Slight,Daylight,Female,26-35,Tameside,At 07:40 on Sunday 01 May 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393232,400225,-2.103494105060531,53.49867911115441
110159112016,2016-05-01,May,Sun,7,Car,Slight,Daylight,Male,26-35,Tameside,At 07:40 on Sunday 01 May 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,393232,400225,-2.103494105060531,53.49867911115441
110159232016,2016-05-07,May,Sat,11,Taxi,Slight,Daylight,Male,56-65,Tameside,At 11:30 on Saturday 07 May 2016 a slight collision occured involving 3 vehicle(s) and  1 casualtie(s).,396970,398672,-2.0471295272655308,53.484755730837335
110159272016,2016-05-18,May,Wed,8,Car,Slight,Daylight,Female,26-35,Tameside,At 08:10 on Wednesday 18 May 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,393944,397856,-2.09271439214202,53.47739439804747
110159272016,2016-05-18,May,Wed,8,Car,Slight,Daylight,Male,46-55,Tameside,At 08:10 on Wednesday 18 May 2016 a slight collision occured involving 2 vehicle(s) and  2 casualtie(s).,393944,397856,-2.09271439214202,53.47739439804747
110160032016,2016-05-09,May,Mon,17,Powered 2 Wheeler,Slight,Daylight,Male,46-55,Tameside,At 17:35 on Monday 09 May 2016 a slight collision occured involving 3 vehicle(s) and  1 casualtie(s).,390811,396543,-2.1398806235869228,53.46554655395657
110160032016,2016-05-09,May,Mon,17,Car,Slight,Daylight,Male,66-75,Tameside,At 17:35 on Monday 09 May 2016 a slight collision occured involving 3 vehicle(s) and  2 casualtie(s).,390811,396543,-2.1398806235869228,53.46554655395657
110160032016,2016-05-09,May,Mon,17,Car,Slight,Daylight,Female,66-75,Tameside,At 17:35 on Monday 09 May 2016 a slight collision occured involving 3 vehicle(s) and  3 casualtie(s).,390811,396543,-2.1398806235869228,53.46554655395657
110160032016,2016-05-09,May,Mon,17,Car,Slight,Daylight,Male,46-55,Tameside,At 17:35 on Monday 09 May 2016 a slight collision occured involving 3 vehicle(s) and  4 casualtie(s).,390811,396543,-2.1398806235869228,53.46554655395657
110160142016,2016-05-22,May,Sun,20,Car,Slight,Daylight,Male,16-20,Tameside,At 20:47 on Sunday 22 May 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394336,395361,-2.086762215730539,53.454972673678554
110160542016,2016-05-22,May,Sun,16,Pedestrian,Slight,Daylight,Male,21-25,Tameside,At 16:20 on Sunday 22 May 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,393878,399833,-2.093748101583609,53.49516371489742
110160982016,2016-04-30,Apr,Sat,19,Pedestrian,Slight,Daylight,Female,36-45,Tameside,At 19:00 on Saturday 30 April 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,394968,399623,-2.077314664271765,53.493287942105596
110161212016,2016-05-18,May,Wed,17,Pedal Cycle,Slight,Daylight,Male,36-45,Tameside,At 17:55 on Wednesday 18 May 2016 a slight collision occured involving 2 vehicle(s) and  1 casualtie(s).,395901,398943,-2.0632426789646567,53.48718411970127
110162102016,2016-05-26,May,Thurs,9,Car,Slight,Dark,Male,36-45,Tameside,At 09:00 on Thursday 26 May 2016 a slight collision occured involving 1 vehicle(s) and  1 casualtie(s).,399060,394383,-2.0156194338965308,53.446212576163745
110163112016,2016-05-09,May,Mon,20,Pedestrian,Serious,Daylight,Male,11-15,Tameside,At 20:00 on Monday 09 May 2016 a serious collision occured involving 1 vehicle(s) and  1 casualtie(s).,391965,394627,-2.1224484094021507,53.4483438052736
